Insect_Order,Insect_Family,Insect_GenusNames,Insect_SpeciesNames,Author,Number_PlantGenus,Plant_GenusNames,Number_PlantSpecies,Plant_SpeciesNames,Plant Part/s ,Feeding Guild,Record_Infestation,Literature,
Coleoptera,Cerambycidae,Stenhomalus,Stenhomalus v-fuscum,"Heller, 1924",3,Hopea / Rubroshorea / Vatica,3,Hopea acuminata / Rubroshorea palosapis / Vatica mangachapoi,Seeds,Seed Feeder,Philippines,Morimoto & Raros (1977),
Coleoptera,Curculionidae,Alcidodes,Alcidodes confusus,"Haaf, 1963",1,Hopea,3,Hopea dyeri / Hopea ferruginea / Hopea mengarawan,Seeds (pre-dispersal),Seed Feeder,Indonesia / Malaysia,Lyal & Curran (2000),
Coleoptera,Curculionidae,Alcidodes,Alcidodes sterryorum,"Lyal in Lyal & Curran, 2000",1,Hopea,3,Hopea ferruginea / Hopea odorata / Hopea sangal,Seeds (pre-dispersal),Seed Feeder,Indonesia,Lyal & Curran (2000),
Coleoptera,Curculionidae,Crossotarsus,Crossotarsus bifurcus,"Schedl, 1938",3,Anthoshorea / Parashorea / Rubroshorea,3,Parashorea malaanonan / Anthoshorea polita / Rubroshorea negrosensis,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Curculionidae,Xyleborus,Xyleborus perforans,"Wood & Bright, 1992",3,Dipterocarpus / Hopea / Rubroshorea,3,Dipterocarpus grandiflorus / Hopea odorata / Rubroshorea negrosensis,Wood,Wood Borer,"Philippines, Indonesia","Morimoto & Raros (1977), Haneda et al. (2020)",
Coleoptera,Nanophyidae,Damnux,Damnux cf. conviva,"Lyal in Lyal & Curran, 2003",1,Dipterocarpus,3,Dipterocarpus crinitus / Dipterocarpus sublamellatus / Dipterocarpus tempehes,Fruits / Seeds (pre-dispersal),Fruit Feeder / Seed Feeder,Malaysia,"Hosaka et al. (2009), Lyal & Curran (2003)",
Coleoptera,Nanophyidae,Damnux,Damnux grandis,"Lyal in Lyal & Curran, 2003",1,Dipterocarpus,3,Dipterocarpus caudiferus / Dipterocarpus hasseltii / Dipterocarpus tempehes,Seeds (pre-dispersal),Seed Feeder,Indonesia,Lyal & Curran (2003),
Coleoptera,Nanophyidae,Damnux,Damnux tindaleorum,"Lyal in Lyal & Curran, 2003",2,Dipterocarpus / Rubroshorea,3,Dipterocarpus cornutus / Dipterocarpus costulatus  / Rubroshorea kunstleri,Fruits / Seeds (pre-dispersal),Fruit Feeder / Seed Feeder,Malaysia,"Hosaka et al. (2009), Lyal & Curran (2003)",
Coleoptera,Nanophyidae,Meregallia,Meregallia spp.,,1,Dipterocarpus,3,Dipterocarpus palembanicus / Dipterocarpus tempehes / Dipterocarpus sublamellatus,"Seeds, Leaves","Seed Feeder, Gall-former",,,
Lepidoptera,Crambidae,Dichocrocis ,Dichocrocis leptalis,"Hampson, 1903",2,Dipterocarpus / Pentacme,3,Pentacme siamensis / Dipterocarpus obtusifolius / Dipterocarpus tuberculatus,Flowers / Fruits / Seeds,Florivore / Fruit Feeder / Seed Feeder,Thailand,Robinson et al. (2025),
Lepidoptera,Erebidae,Euproctis,Euproctis sp.,,2,Rubroshorea / Shorea,3,Rubroshorea lepidota / Rubroshorea stenoptera / Shorea sumatrana,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Erebidae,Lymantria,Lymantria ganara,"Moore, 1859",2,Anthorubroshorea / Rubroshorea,3,Rubroshorea smithiana / Anthoshorea symingtonii / Rubroshorea waltonii,Leaves,Defoliator,Malaysia,Chung et al. (2013),
Lepidoptera,Erebidae,Lymantria,Lymantria sp.,,1,Rubroshorea,3,Rubroshorea stenoptera / Rubroshorea macroptera / Rubroshorea lepidota,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Erebidae,Olene,Olene inclusa,"(Walker, 1856)",2,Rubroshorea / Shorea,3,Shorea kudatensis / Rubroshorea waltonii / Rubroshorea leprosula,Leaves,Defoliator,Malaysia,"Chung et al. (2013), Ong et al. (2020)",
Lepidoptera,Gracillariidae,Chrysocercops,Chrysocercops malayana,"Kumata, 1992",1,Anthoshorea / Rubroshorea,3,Rubroshorea acuminata / Anthoshorea bracteolata / Rubroshorea leprosula,Leaves,Leaf Miner,Malaysia,Kumata (1992),
Lepidoptera,Psychidae,Eumeta,Eumeta cramerii,"(Westwood, 1854)",3,Anthoshorea / Richetia / Rubroshorea,3,Anthoshorea assamica / Rubroshorea platyclados / Richetia maxima,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Citripestis,Citripestis eutraphera,"Meyrick, 1933",2,Dipterocarpus / Rubroshorea,3,Dipterocarpus baudii / Dipterocarpus chartaceus / Rubroshorea macrophylla,Fruits / Seeds,Fruit Feeder / Seed Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Erinothus,Erinothus lollialis,"Walker, 1859",1,Rubroshorea,3,Rubroshorea parvifolia / Rubroshorea lepidota / Rubroshorea macroptera,Fruits,Fruit Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Metaraphia,Metaraphia postluteella,"Hampson, 1901",2,Rubroshorea / Shorea,3,Rubroshorea macroptera / Rubroshorea leprosula / Shorea foxworthyi,Fruits / Seeds,Fruit Feeder / Seed Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Nacoleia,Nacoleia charesalis,"Walker, 1859",1,Rubroshorea,3,Rubroshorea leprosula / Rubroshorea macroptera / Rubroshorea parvifolia,Fruits,Fruit Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Stericta,Stericta sp.,,3,Dipterocarpus / Rubroshorea / Shorea,3,Shorea seminis / Rubroshorea lepidota / Dipterocarpus dyeri,Seeds / Seed wings,Fruit Feeder / Seed Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Sphingidae,Ambulyx,Ambulyx canescens,"Walker, [1865]",2,Dryobalanops / Rubroshorea,3,Rubroshorea lepidota / Dryobalanops lanceolata / Rubroshorea macroptera,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Tineidae,Erechthias,Erechthias zebrina,"(Butler, 1881)",1,Rubroshorea,3,Rubroshorea acuminata / Rubroshorea macroptera / Rubroshorea leprosula,On Detritus / Pericarp,Detritivore,Malaysia,Robinson et al. (2025),
Lepidoptera,Tortricidae,Cydia,Cydia spp.,,2,Dipterocarpus / Rubroshorea,3,Dipterocarpus kerrii / Rubroshorea ovalis / Rubroshorea macroptera,Fruits / Seeds,Fruit Feeder / Seed Feeder,Malaysia,Robinson et al. (2025),
Phasmatodea,Heteronemiidae,Asceles,Asceles margaritatus,"Redtenbacher, 1908",3,Dipterocarpus / Hopea / Parashorea,3,Dryobalanops lanceolata / Hopea nervosa / Parashorea malaanonan,Leaves,Defoliator,Malaysia,Blüthgen et al. (2006),
Phasmatodea,Lonchodidae,Hermagoras,Hermagoras cultratolobatus ,"(Brunner von Wattenwyl, 1907)",3,Dryobalanops / Hopea / Parashorea,3,Dryobalanops lanceolata / Hopea nervosa / Parashorea malaanonan,Leaves,Defoliator,Malaysia,Blüthgen et al. (2006),
Blattodea,Termitidae,Microcerotermes,Microcerotermes duplex ,"(Desneux, 1904)",2,Richetia / Rubroshorea,2,Rubroshorea beccariana / Richetia multiflora,Wood,Wood Feeder,Malaysia,Chey (1996),
Coleoptera,Anthribidae,Mecocerus,Mecocerus basalis ,"Jordan, 1894",2,Dipterocarpus / Shorea,2,Dipterocarpus grandiflorus / Shorea sp.,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Attelabidae,Involvulus,Involvulus sp.,,2,Dipterocarpus / Dryobalanops,2,Dryobalanops lanceolata / Dipterocarpus pachyphyllus,Seeds,Seed Feeder,Malaysia,Nakagawa et al. (2003),
Coleoptera,Cerambycidae,Acalolepta,Acalolepta rusticatrix,"(Fabricius, 1801) ",2,Parashorea / Rubroshorea,2,Parashorea malaanonan / Rubroshorea johorensis,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Cerambycidae,Anomophysis,Anomophysis absurda,"(Newman, 1842)",2,Dipterocarpus / Shorea,2,Dipterocarpus grandiflorus / Shorea sp.,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Cerambycidae,Trirachys,Trirachys holosericeus ,"(Fabricius, 1787)",2,Dipterocarpus / Shorea,2,Dipterocarpus grandiflorus / Shorea sp.,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Cerambycidae,Trirachys,Trirachys indutus ,"(Newman, 1842)",2,Parashorea / Shorea,2,Parashorea malaanonan / Shorea sp.,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Curculionidae,Alcidodes,Alcidodes fugitus,"Lyal in Lyal & Curran, 2000",1,Hopea,2,Hopea ferruginea / Hopea sangal,Seeds (pre-dispersal),Seed Feeder,Indonesia,Lyal & Curran (2000),
Coleoptera,Curculionidae,Alcidodes,Alcidodes walliorum ,"Lyal in Lyal & Curran, 2000",1,Hopea,2,Hopea dyeri / Hopea mengarawan,Seeds (pre-dispersal),Seed Feeder,Malaysia / Indonesia,Lyal & Curran (2000),
Coleoptera,Curculionidae,Arixyleborus,Arixyleborus granulifer,"Wood & Bright, 1992",2,Dipterocarpus / Shorea,2,Dipterocarpus grandiflorus / Shorea sp.,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Curculionidae,Arixyleborus,Arixyleborus imitator,"Schedl, 1936",2,Dipterocarpus / Shorea,2,Dipterocarpus grandiflorus / Shorea sp.,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Curculionidae,Arixyleborus,Arixyleborus rugosipes,"Hopkins, 1915",2,Dipterocarpus / Shorea,2,Dipterocarpus grandiflorus / Shorea sp.,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Curculionidae,Coccotrypes,Coccotrypes cardamomi ,"Schaufuss, C.F.C., 1905",2,Dipterocarpus / Rubroshorea,2,Dipterocarpus palembanicus / Rubroshorea smithiana ,Fruits,Fruit Feeder,Malaysia,Nakagawa et al. (2003),
Coleoptera,Curculionidae,Diapus,Diapus quinquespinatus,"Chapuis, 1865",2,Dipterocarpus / Shorea,2,Dipterocarpus grandiflorus / Shorea sp.,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Curculionidae,Endaenidius,Endaenidius spinipes,"Kojima & Morimoto, 1995",1,Rubroshorea,2,Rubroshorea pilosa / Rubroshorea quadrinervis,Seeds,Seed Feeder,Malaysia,Nakagawa et al. (2003),
Coleoptera,Curculionidae,Euwallacea,Euwallacea similis ,"(Ferrari, 1867)",2,Dipterocarpus / Rubroshorea,2,Dipterocarpus pachyphyllus / Rubroshorea smithiana,Fruits,Fruit Feeder,Malaysia,Nakagawa et al. (2003),
Coleoptera,Curculionidae,Ips,Ips bicaudatus,"Eggers, 1927",2,Dipterocarpus / Vatica,2,Dipterocarpus grandiflorus / Vatica mangachapoi,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Curculionidae,Ozopemon,Ozopemon brownei ,"Schedl, 1953",2,Dipterocarpus / Shorea,2,Dipterocarpus grandiflorus / Shorea sp.,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Curculionidae,Platypus,Platypus curtus,"Chapuis, 1865",2,Dipterocarpus / Shorea,2,Dipterocarpus grandiflorus / Shorea sp.,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Curculionidae,Sphaerotrypes,Sphaerotrypes moseri,"Eggers, 1927",2,Parashorea / Pentacme,2,Parashorea malaanonan / Pentacme contorta,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Curculionidae,Treptoplatypus,Treptoplatypus solidus,"Bright & Skidmore, 2002",2,Dipterocarpus / Shorea,2,Dipterocarpus grandiflorus / Shorea sp.,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Curculionidae,Xyleborinus,Xyleborinus exiguus,"Wood & Bright, 1992",2,Dipterocarpus / Dryobalanops,2,Dryobalanops aromatica / Dipterocarpus tempehes,Fruits,Fruit Feeder,Malaysia,Nakagawa et al. (2003),
Coleoptera,Curculionidae,Xyleborus,Xyleborus bidentatus,"Wood & Bright, 1992",2,Dipterocarpus / Shorea,2,Dipterocarpus grandiflorus / Shorea sp.,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Curculionidae,Xyleborus,Xyleborus emarginatus ,"Schedl, 1952",2,Dipterocarpus / Shorea,2,Dipterocarpus grandiflorus / Shorea sp.,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Curculionidae,Xyleborus,Xyleborus posticepilosus,"Schedl, 1951",2,Dipterocarpus / Shorea,2,Dipterocarpus grandiflorus / Shorea sp.,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Curculionidae,Xyleborus,Xyleborus subcostatus,"Eichhoff, 1869",2,Dipterocarpus / Shorea,2,Dipterocarpus grandiflorus / Shorea sp.,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Curculionidae,Xyleborus,Xyleborus torquatus,"Eichhoff, 1868",2,Dipterocarpus / Rubroshorea,2,Dipterocarpus grandiflorus / Rubroshorea palosapis,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Nanophyidae,Damnux,Damnux confusa,"Lyal in Lyal & Curran, 2003",2,Dipterocarpus / Rubroshorea,2,Dipterocarpus costulatus / Rubroshorea kunstleri,Seeds (pre-dispersal),Seed Feeder,Malaysia,Lyal & Curran (2003),
Coleoptera,Nanophyidae,Damnux,Danmux wagneri,"Lyal in Lyal & Curran, 2003",1,Dipterocarpus,2,Dipterocarpus grandiflorus / Dipterocarpus tuberculatus,Seeds (pre-dispersal),Seed Feeder,Thailand,"Basset et al. (2019), Lyal & Curran (2003)",
Coleoptera,Scarabaeidae,Exopholis,Exopholis hypoleuca,"(Wiedemann, 1819)",2,Dipterocarpus / Dryobalanops,2,Dipterocarpus applanatus / Dryobalanops lanceolata,Leaves,Defoliator,Malaysia,"Chung (1998), Chung et al. (2013)",
Hemiptera,Beesoniidae,Echinogalla,Echinogalla pustulata,"Takagi, 2001",1,Shorea,2,Shorea falcifera / Shorea glauca,Leaves,Gall-former,Malaysia,Takagi (2001),
Hemiptera,Beesoniidae,Gallacoccus,Gallacoccus anthonyae,"Beardsley, 1971",1,Rubroshorea,2,Rubroshorea curtisii / Rubroshorea pauciflora,Leaves,Gall-former,Singapore,Beardsley (1971),
Hemiptera,Beesoniidae,Gallacoccus,Gallacoccus secundus,"Beardsley, 1971",1,Rubroshorea,2,Rubroshorea curtisii / Rubroshorea pauciflora,Leaves,Gall-former,Singapore,"Beardsley (1971), Takagi (2001)",
Hemiptera,Beesoniidae,Gallacoccus,Gallacoccus spp.,,1,Rubroshorea,2,Rubroshorea macroptera / Rubroshorea leprosula,Leaves / Fruits,Gall-former,Malaysia,Ong et al. (2020),
Hemiptera,Diaspididae,Pentalaminaspis,Pentalaminaspis minuta,"(Kotinsky, 1908)",1,Rubroshorea,2,Rubroshorea fallax / Rubroshorea beccariana,,Sap Suckers,Malaysia,Normark et al. (2019),
Hemiptera,Eriococcidae,Pedroniopsis,Pedroniopsis beesoni,"Green, 1926",2,Dipterocarpus / Rubroshorea,2,Dipterocarpus tuberculatus / Rubroshorea leprosula,,Sap Suckers,"Myanmar, Malaysia",Green (1926),
Hymenoptera,Apidae,Tetragonula,Tetragonula melina,"(Gribodo, 1893)",1,Anthoshorea,2,Anthoshorea confusa / Anthoshorea agamii,Resin,Resin Feeders,Brunei,Chui et al. (2023),
Lepidoptera,Cossidae,Polyphagozerra,Polyphagozerra coffeae,"(Nietner, 1861)",2,Anisoptera / Penatcme,2,Pentacme siamensis / Anisoptera costata,Twigs,Wood Borer,Thailand,Robinson et al. (2025),
Lepidoptera,Crambidae,Dichocrocis ,Dichocrocis evaxalis,"Walker, 1859",1,Dipterocarpus,2,Dipterocarpus grandiflorus / Dipterocarpus crinitus,Fruits / Seeds,Fruit Feeder / Seed Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Crambidae,Dichocrocis ,Dichocrocis nilusalis,"Walker, 1859",2,Dryobalanops / Rubroshorea,2,Rubroshorea lepidota / Dryobalanops aromatica,Leaves,Defoliator,South-East Asia,Robinson et al. (2025),
Lepidoptera,Erebidae,Lymantria,Lymantria bivittata marginalis,"Walker, 1862",1,Rubroshorea,2,Rubroshorea macroptera / Rubroshorea macrophylla / ,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Erebidae,Orgyia,Orgyia basinigra ,"(Heylaerts, 1892)",2,Anthoshorea / Parashorea,2,Anthoshorea symingtonii / Parashorea malaanonan,Leaves,Defoliator,Malaysia,Chung et al. (2013),
Lepidoptera,Erebidae,Orgyia,Orgyia postica,"(Walker, 1855)",1,Anthoshorea / Rubroshorea,2,Anthoshorea bracteolata / Rubroshorea leprosula,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Geometridae,Mesotrophe,Mesotrophe intortaria,"(Guenée, [1858])",2,Richetia / Rubroshorea,2,Richetia acuminatissima / Rubroshorea argentifolia,Flowers,Florivore,Malaysia,Chung et al. (2011),
Lepidoptera,Geometridae,Ornithospila,Ornithospila submontrans,"(Walker, 1861)",2,Richetia / Rubroshorea,2,Richetia xanthophylla / Rubroshorea parvifolia,Flowers / Leaves,Florivore / Defoliator,Malaysia,Chung et al. (2011),
Lepidoptera,Gracillariidae,Chrysocercops,Chrysocercops hopeella,"Kumata, 1992",1,Hopea,2,Hopea nutans / Hopea odorata,Leaves,Leaf Miner,Malaysia,Kumata (1992),
Lepidoptera,Gracillariidae,Chrysocercops,Chrysocercops squamosa,"Kumata, 1992",1,Vatica,2,Vatica pallida / Vatica pauciflora,Leaves,Leaf Miner,Malaysia,Kumata (1992),
Lepidoptera,Gracillariidae,Chrysocercops,Chrysocercops vaticae,"(Kumata, 1992)",1,Vatica,2,Vatica bella / Vatica pauciflora,Leaves,Leaf Miner,Malaysia,Kumata (1992),
Lepidoptera,Lasiocampidae,Trabala,Trabala sp.,,2,Neobalanocarpus / Rubroshorea,2,Rubroshorea platyclados / Neobalanocarpus heimii,Leaves,Defoliator,West Malaysia,Robinson et al. (2025),
Lepidoptera,Lycaenidae,Arhopala,Arhopala atosia,"(Hewitson, 1863)",2,Anthoshorea / Anisoptera,2,Anthoshorea roxburghii / Anisoptera laevis,Leaves,Defoliator,Thailand / Malaysia,Robinson et al. (2025),
Lepidoptera,Lycaenidae,Rapala,Rapala manea ingana,"Fruhstorfer, 1912",1,Rubroshorea,2,Rubroshorea argentifolia / Rubroshorea johorensis,Flowers,Florivore,Malaysia,Chung et al. (2011),
Lepidoptera,Lycaenidae,Simiskina,Simiskina phalia,"(Hewitson, 1874)",2,Rubroshorea / Shorea,2,Shorea atrinervosa / Rubroshorea rugosa,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Noctuidae,Hydrillodes,Hydrillodes gravatalis,"(Walker, 1859)",2,Dipterocarpus / Rubroshorea,2,Dipterocarpus crinitus / Rubroshorea macroptera,On Detritus / Pericarp,Detritivore,Malaysia,Robinson et al. (2025),
Lepidoptera,Oecophoridae,Stathmopoda,Stathmopoda sp.,,2,Dipterocarpus / Neobalanocarpus,2,Neobalanocarpus heimii / Dipterocarpus baudii,Fruits / Seeds,Fruit Feeder / Seed Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Psychidae,Metisa,Metisa plana,"Walker, 1883",2,Anisoptera / Shorea,2,Rubroshorea balangeran / Anisoptera marginata,Leaves,Defoliator,Indonesia,"Asmaliyah et al. (2019), Lelana et al. (2022), Budiman et al. (2020)",
Lepidoptera,Pyralidae,Agrotera,Agrotera sp.,,2,Anthoshorea / Rubroshorea,2,Anthoshorea javanica / Rubroshorea ovalis,Fruit wings,Fruit Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Cydalima,Cydalima conchylalis,"Guenée, 1854",1,Dipterocarpus,2,Dipterocarpus tuberculatus / Dipterocarpus turbinatus,Leaves,Defoliator,Thailand,Robinson et al. (2025),
Lepidoptera,Pyralidae,Glyphodes,Glyphodes sp.,,2,Anthoshorea / Pentacme,2,Pentacme siamensis / Anthoshorea roxburghii,Leaves,Defoliator,Thailand,Robinson et al. (2025),
Lepidoptera,Pyralidae,Lista,Lista sp.,,2,Dryobalanops / Rubroshorea,2,Rubroshorea parvifolia / Dryobalanops beccarii,Leaves,Defoliator,Malaysia / Brunei,Robinson et al. (2025),
Lepidoptera,Pyralidae,Tirathaba,Tirathaba ruptilinea,"(Walker, 1866)",2,Anthoshorea / Rubroshorea,2,Anthoshorea gratissima / Rubroshorea macroptera,Fruits,Fruit Feeder,Indonesia / Thailand,Basset et al. (2019),
Lepidoptera,Saturniidae,Attacus,Attacus atlas,"(Linnaeus, 1758)",2,Pentacme / Shorea,2,Pentacme siamensis / Shorea obtusa,Leaves,Defoliator,Thailand,Robinson et al. (2025),
Lepidoptera,Sesiidae,Synanthedon,Synanthedon sp.,,1,Dipterocarpus,2,Dipterocarpus gracilis / Dipterocarpus baudii,Fruits,Fruit Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Thyrididae,Rhodoneura,Rhodoneura sp.,,2,Rubroshorea / Vatica,2,Vatica odorata / Rubroshorea ovalis,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Thyrididae,Striglina,Striglina scitaria,"Walker, 1862",2,Anisoptera / Rubroshorea,2,Rubroshorea leprosula / Anisoptera sp.,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Tineidae,Opogona,Opogona icterica,"Meyrick, 1915",2,Dipterocarpus / Rubroshorea,2,Dipterocarpus crinitus / Rubroshorea kunstleri,On Detritus / Pericarp,Detritivore,Malaysia,Robinson et al. (2025),
Lepidoptera,Tortricidae,Archips,Archips micaceana,"(Walker, 1863)",2,Hopea / Anthoshorea,2,Hopea odorata / Anthoshorea roxburghii,Leaves,Defoliator,Thailand,Robinson et al. (2025),
Lepidoptera,Tortricidae,Cydia,Cydia magnetica,"(Meyrick, 1928)",2,Dryobalanops / Shorea,2,Dryobalanops aromatica / Shorea glauca,Fruits / Seeds,Fruit Feeder / Seed Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Tortricidae,Dudua,Dudua aprobola,"(Meyrick, 1886)",2,Parashorea / Richetia,2,Parashorea tomentella / Richetia xanthophylla,Flowers,Florivore,Malaysia,Chung et al. (2013),
Lepidoptera,Tortricidae,Eucosma,Eucosma rhymogramma,"Meyrick, 1916",2,Dipterocarpus / Richetia,2,Dipterocarpus crinitus / Richetia longisperma,Fruits,Fruit Feeder,Malaysia,Robinson et al. (2025),
Phasmatodea,Heteropterygidae,Dares,Dares validispinus,"Stål, 1875",2,Dryobalanops / Rubroshorea,2,Dryobalanops lanceolata / Rubroshorea smithiana ,Leaves,Defoliator,Malaysia,Junker et al. (2008),
Phasmatodea,Lonchodidae,Hermagoras,Hermagoras hosei,"Kirby, 1896",2,Dryobalanops / Rubroshorea,2,Dryobalanops lanceolata / Rubroshorea smithiana ,Leaves,Defoliator,Malaysia,Junker et al. (2008),
Phasmatodea,Lonchodidae,Lonchodes,Lonchodes jejunus,"(Brunner von Wattenwyl, 1907)",2,Dryobalanops / Rubroshorea,2,Dryobalanops lanceolata / Rubroshorea smithiana ,Leaves,Defoliator,Malaysia,Junker et al. (2008),
Phasmatodea,Lonchodidae,Necroscia,Necroscia sp.,,2,Dryobalanops / Rubroshorea,2,Dryobalanops lanceolata / Rubroshorea smithiana ,Leaves,Defoliator,Malaysia,Junker et al. (2008),
Phasmatodea,Lonchodidae,Stheneboea ,Stheneboea  tuberculata,"Kirby, 1896",2,Dryobalanops / Hopea,2,Dryobalanops lanceolata / Hopea nervosa,Leaves,Defoliator,Malaysia,Blüthgen et al. (2006),
Blattodea,Heterotermitidae,Coptotermes,Coptotermes curvignathus ,"Holmgren, 1913",1,Rubroshorea,1,Rubroshorea beccariana ,Wood,Wood Feeder,Malaysia,Chey (1996),
Blattodea,Heterotermitidae,Coptotermes,Coptotermes sp.,,1,Rubroshorea,1,Rubroshorea leprosula,Wood,Wood Feeder,Indonesia,Ngatiman (2017),
Blattodea,Heterotermitidae,Coptotermes,Coptotermes travians ,"(Haviland, 1898)",1,Richetia,1,Richetia multiflora,Wood,Wood Feeder,Malaysia,Chey (1996),
Blattodea,Termitidae,Macrotermes,Macrotermes cf. malaccensis ,"(Haviland, 1898)",1,Shorea,1,Shorea sp.,Roots,Wood Feeder,Malaysia,Kirton & Cheng (2007) ,
Blattodea,Termitidae,Nasutitermes,Nasutitermes sp.,,1,Shorea,1,Shorea sp.,Roots,Wood Feeder,Malaysia,Kirton & Cheng (2007) ,
Blattodea,Termitidae,Odontotermes,Odontotermes cf. oblongatus ,"Holmgren, 1913",1,Shorea,1,Shorea sp.,Roots,Wood Feeder,Malaysia,Kirton & Cheng (2007) ,
Blattodea,Termitidae,Odontotermes,Odontotermes sp.,,1,Shorea,1,Shorea sp.,Roots,Wood Feeder,Malaysia,Kirton & Cheng (2007) ,
Blattodea,Termitidae,Pericapritermes,Pericapritermes sp.,,1,Shorea,1,Shorea sp.,Roots,Wood Feeder,Malaysia,Kirton & Cheng (2007) ,
Blattodea,Termitidae,Procapritermes,Procapritermes setiger ,"(Haviland, 1898)",1,Shorea,1,Shorea sp.,Roots,Wood Feeder,Malaysia,Kirton & Cheng (2007) ,
Coleoptera,Anthribidae,Acanthothorax,Acanthothorax allectus ,"Rheinheimer, J., 2004",1,Dipterocarpus,1,Dipterocarpus grandiflorus,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Anthribidae,Mecocerus,Mecocerus gazella ,"Gyllenhal in Schoenherr, 1833",1,Dipterocarpus,1,Dipterocarpus grandiflorus,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Anthribidae,Phloeobius,Phloebius pallipes,"Jordan, 1895",1,Dipterocarpus,1,Dipterocarpus cornutus,Seeds,Seed Feeder,?,Nakagawa et al. (2005),
Coleoptera,Brentidae,Cyphagogus,Cyphagogus planifrons ,"Kirsch, 1875",1,Dipterocarpus,1,Dipterocarpus grandiflorus,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Buprestidae,Belionota,Belionota prasina,"(Thunberg, 1789)",1,Hopea,1,Hopea odorata,Wood,Wood Borer,Indonesia,Haneda et al. (2020),
Coleoptera,Cerambycidae,Anancylus,Anancylus (Paranancylus) socius,"Pascoe, 1865",1,Dipterocarpus,1,Dipterocarpus grandiflorus,Wood,Wood Borer,Philippines / Malaysia,"Morimoto & Raros (1977), Chung (2008)",
Coleoptera,Cerambycidae,Batocera,Batocera calanus,"(Parry, 1844)",1,Rubroshorea,1,Rubroshorea almon,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Cerambycidae,Batocera,Batocera rubus,"(Linné, 1758)",1,Shorea,1,Shorea sp.,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Cerambycidae,Chloridolum,Chloridolum accensum ,"(Newman, 1842)",1,Dipterocarpus,1,Dipterocarpus grandiflorus,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
Coleoptera,Cerambycidae,Dialeges,Dialeges pauper,"Pascoe, 1857",1,Shorea,1,Shorea sp.,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
